"Dataset","State","Year","Quarter","Setting","Drug","Characteristic","Level","Rate","Count"
"AHRQ","Kansas",2018,"Q2","IP","All Opioids","Sex","Females",198.835456284802,750
"AHRQ","Kansas",2018,"Q3","IP","All Opioids","Sex","Females",219.582819041249,800
"AHRQ","Kansas",2018,"Q4","IP","All Opioids","Sex","Females",200.597224887271,750
"AHRQ","Kansas",2019,"Q1","IP","All Opioids","Sex","Females",207.221588291674,750
"AHRQ","Kansas",2019,"Q2","IP","All Opioids","Sex","Females",212.419118058163,800
"AHRQ","Kansas",2019,"Q3","IP","All Opioids","Sex","Females",201.302066036422,750
"AHRQ","Kansas",2019,"Q4","IP","All Opioids","Sex","Females",182.975695436889,650
"AHRQ","Kansas",2020,"Q1","IP","All Opioids","Sex","Females",196.127648647665,700
"AHRQ","Kansas",2020,"Q2","IP","All Opioids","Sex","Females",159.083747306784,600
"AHRQ","Kansas",2020,"Q3","IP","All Opioids","Sex","Females",188.014479659532,700
"AHRQ","Kansas",2020,"Q4","IP","All Opioids","Sex","Females",158.060128244027,600
"AHRQ","Kansas",2021,"Q1","IP","All Opioids","Sex","Females",170.577577215638,600
"AHRQ","Kansas",2021,"Q2","IP","All Opioids","Sex","Females",185.307881051321,700
"AHRQ","Kansas",2021,"Q3","IP","All Opioids","Sex","Females",182.765661172213,650
"AHRQ","Kansas",2021,"Q4","IP","All Opioids","Sex","Females",180.116236996986,650
"AHRQ","Kansas",2022,"Q1","IP","All Opioids","Sex","Females",159.76637941738,600
"AHRQ","Kansas",2022,"Q2","IP","All Opioids","Sex","Females",189.445450069324,700
"AHRQ","Kansas",2022,"Q3","IP","All Opioids","Sex","Females",184.774873860386,700
"AHRQ","Kansas",2022,"Q4","IP","All Opioids","Sex","Females",180.670856368258,650
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",313.209192164374,3500
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",381.994124810443,4250
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",433.006573247997,4800
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",371.756879086621,4150
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",437.438178579206,4850
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",415.297429883862,4650
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",373.389180027321,4150
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",357.566272907745,4000
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",309.877298270195,3450
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",320.987583078762,3600
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",361.172333300083,4050
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",298.428962568396,3350
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",291.103028431711,3250
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",327.337162934577,3650
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",343.521660009571,3850
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",297.521701918316,3350
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",299.088937277878,3350
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",364.32714088522,4100
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",399.800907667913,4500
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",319.696533628329,3600
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",331.75111730688,3700
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",389.977897995237,4400
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",381.060784427668,4300
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",305.98489476459,3450
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",153.110107536853,550
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",170.479563212143,600
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",178.378436071418,600
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",147.867291700834,500
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",169.871936776042,600
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",149.777332193276,500
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",126.348503780099,450
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",117.40512290541,400
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",88.8105492442246,300
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",106.694309131672,350
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",102.741738445773,350
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",85.5804923190485,300
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",73.323950349772,250
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",83.6453964930312,300
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",87.1702866225686,300
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",73.1058514541148,250
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",68.459271330358,250
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",90.6323767984613,300
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",105.034855521261,350
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",77.4033803952388,250
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",83.0117242791326,300
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",100.564534185248,350
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",83.0178870580033,300
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",77.2399030609264,250
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Age","1-24 Years",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",737.737146297973,2050
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",921.100989983438,2600
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",1067.13537329675,3000
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",883.419476242095,2450
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",1084.22438304297,3050
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",1007.73176416047,2800
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",886.439427146199,2500
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",861.76429993729,2400
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",746.306184245893,2100
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",746.090494610771,2100
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",877.140361235103,2450
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",715.917376706159,2000
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",699.048187737518,1950
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",804.575222095946,2250
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",839.216068437877,2350
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",710.694648505066,2000
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",743.750796711997,2100
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",921.915362780014,2600
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",960.384734902834,2700
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",765.192948831346,2150
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",801.11575846072,2250
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",898.79640137558,2550
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",900.957066238002,2550
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",688.263086545914,1950
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Age","25-44 Years",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",242.022176598003,700
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",287.355557701989,850
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",329.647420693298,1000
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",307.001020196375,900
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",350.742717756266,1050
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",348.938138530708,1050
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",328.7844289657,950
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",302.56076797334,900
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",279.000880015312,800
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",296.565821980429,850
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",325.393733215254,950
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",274.26926418304,800
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",285.3690445717,850
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",305.306331946658,900
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",321.955838619678,950
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",286.576752987265,850
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",280.085669514386,800
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",339.492979141274,1000
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",385.262217518584,1100
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",313.601583319013,900
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",327.800768142854,950
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",402.113002806537,1150
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",398.490272573263,1150
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",326.613677834413,950
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Age","45-64 Years",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",93.346357614799,150
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",126.156749931353,200
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",128.248271286357,200
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",132.032056363384,250
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",117.925652102766,200
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",142.081720706432,250
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",149.331663689647,250
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",149.535808558929,250
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",132.824461760693,250
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",137.774738976217,250
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",144.707254239516,250
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",122.047048789233,200
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",111.705626036772,200
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",118.840366791801,200
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",131.743989531122,250
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",129.067172373795,250
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",112.474833444617,200
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",102.016044747031,200
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",158.132938478781,300
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",133.835434224696,250
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",121.77872611849,250
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",176.301027936902,350
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",157.215533032923,300
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",148.871585834356,300
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Age","65+ Years",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",330.511356123392,1800
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",427.078855958077,2350
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",482.071370843206,2650
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",412.765522374368,2250
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",510.167297628807,2800
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",468.04080136026,2550
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",414.832366169421,2300
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",387.933400036133,2150
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",328.971927077872,1800
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",361.119385346621,2000
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",397.173715225814,2200
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",317.932404841549,1750
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",322.275300477671,1800
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",366.930245386445,2050
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",379.817077553278,2100
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",352.61760450693,1950
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",340.30162249886,1900
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",436.017590799178,2400
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",473.598781471622,2600
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",376.841841665482,2100
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",387.994901366371,2150
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",461.729161741294,2550
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",445.91111805494,2450
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",348.372150404803,1950
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Sex","Males",NA,NA
"AHRQ","Kentucky",2016,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",296.246187775662,1650
"AHRQ","Kentucky",2016,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",338.255190425014,1900
"AHRQ","Kentucky",2016,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",385.406378946653,2150
"AHRQ","Kentucky",2016,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",331.617726244475,1850
"AHRQ","Kentucky",2017,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",366.866394203271,2050
"AHRQ","Kentucky",2017,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",364.118563870737,2050
"AHRQ","Kentucky",2017,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",333.175306485454,1900
"AHRQ","Kentucky",2017,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",327.922995181401,1850
"AHRQ","Kentucky",2018,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",291.345523321871,1650
"AHRQ","Kentucky",2018,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",282.038749069505,1600
"AHRQ","Kentucky",2018,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",326.055609887806,1850
"AHRQ","Kentucky",2018,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",279.500424780933,1600
"AHRQ","Kentucky",2019,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",260.810343289629,1500
"AHRQ","Kentucky",2019,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",288.861277097618,1650
"AHRQ","Kentucky",2019,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",308.25038898605,1750
"AHRQ","Kentucky",2019,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",243.980438475118,1400
"AHRQ","Kentucky",2020,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",259.049696476584,1500
"AHRQ","Kentucky",2020,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",294.67792555584,1700
"AHRQ","Kentucky",2020,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",328.104272905907,1850
"AHRQ","Kentucky",2020,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",264.002900376583,1500
"AHRQ","Kentucky",2021,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",276.931250639121,1600
"AHRQ","Kentucky",2021,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",320.26731799349,1800
"AHRQ","Kentucky",2021,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",317.703430979553,1800
"AHRQ","Kentucky",2021,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",264.62746182256,1500
"AHRQ","Kentucky",2022,"Q1","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Kentucky",2022,"Q2","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Kentucky",2022,"Q3","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Kentucky",2022,"Q4","ED Treat-and-Release","All Opioids","Sex","Females",NA,NA
"AHRQ","Kentucky",2016,"Q1","IP","All Opioids","Total","All Inpatient Stays",388.267202356604,4300
"AHRQ","Kentucky",2016,"Q2","IP","All Opioids","Total","All Inpatient Stays",407.707562975293,4550
"AHRQ","Kentucky",2016,"Q3","IP","All Opioids","Total","All Inpatient Stays",433.448040461151,4800
"AHRQ","Kentucky",2016,"Q4","IP","All Opioids","Total","All Inpatient Stays",414.907696537771,4600
"AHRQ","Kentucky",2017,"Q1","IP","All Opioids","Total","All Inpatient Stays",447.428397875456,5000
"AHRQ","Kentucky",2017,"Q2","IP","All Opioids","Total","All Inpatient Stays",458.113523170896,5100
"AHRQ","Kentucky",2017,"Q3","IP","All Opioids","Total","All Inpatient Stays",439.526792614962,4900
"AHRQ","Kentucky",2017,"Q4","IP","All Opioids","Total","All Inpatient Stays",436.384108704539,4850
"AHRQ","Kentucky",2018,"Q1","IP","All Opioids","Total","All Inpatient Stays",432.173025860911,4800
"AHRQ","Kentucky",2018,"Q2","IP","All Opioids","Total","All Inpatient Stays",451.399436215202,5050
"AHRQ","Kentucky",2018,"Q3","IP","All Opioids","Total","All Inpatient Stays",457.633981269152,5100
