"Dataset","Disease","Region","Region Type","Season","Week Observed","Characteristic","Level","WVAL Category","National WVAL","State WVAL","Regional WVAL","Coverage"
"NWSS","RSV","California","State","2021-22",2022-03-26,"Not Stratified","N/A","Minimal",2.06,1.93,1.93,NA
"NWSS","RSV","California","State","2021-22",2022-04-02,"Not Stratified","N/A","Minimal",1.69,2,1.74,NA
"NWSS","RSV","California","State","2021-22",2022-04-09,"Not Stratified","N/A","Minimal",2.17,2.38,2.34,NA
"NWSS","RSV","California","State","2021-22",2022-04-16,"Not Stratified","N/A","Minimal",1.84,2.53,2.2,NA
"NWSS","RSV","California","State","2021-22",2022-04-23,"Not Stratified","N/A","Minimal",1.35,1.41,1.4,NA
"NWSS","RSV","California","State","2021-22",2022-04-30,"Not Stratified","N/A","Minimal",1.34,1.27,1.31,NA
"NWSS","RSV","California","State","2021-22",2022-05-07,"Not Stratified","N/A","Minimal",1.41,0.99,1.02,NA
"NWSS","RSV","California","State","2021-22",2022-05-14,"Not Stratified","N/A","Minimal",1.6,1.58,1.4,NA
"NWSS","RSV","California","State","2021-22",2022-05-21,"Not Stratified","N/A","Minimal",1.62,1.35,1.35,NA
"NWSS","RSV","California","State","2021-22",2022-05-28,"Not Stratified","N/A","Minimal",1.63,1.63,1.6,NA
"NWSS","RSV","California","State","2021-22",2022-06-04,"Not Stratified","N/A","Minimal",1.41,1.36,1.3,NA
"NWSS","RSV","California","State","2021-22",2022-06-11,"Not Stratified","N/A","Minimal",1.54,1.31,1.31,NA
"NWSS","RSV","California","State","2021-22",2022-06-18,"Not Stratified","N/A","Minimal",1.21,1.21,1.2,NA
"NWSS","RSV","California","State","2021-22",2022-06-25,"Not Stratified","N/A","Minimal",1.33,1.33,1.33,NA
"NWSS","RSV","California","State","2022-23",2022-07-02,"Not Stratified","N/A","Minimal",1.38,1.26,1.24,NA
"NWSS","RSV","California","State","2022-23",2022-07-09,"Not Stratified","N/A","Minimal",1.62,1.5,1.49,NA
"NWSS","RSV","California","State","2022-23",2022-07-16,"Not Stratified","N/A","Minimal",2.62,1.3,1.32,NA
"NWSS","RSV","California","State","2022-23",2022-07-23,"Not Stratified","N/A","Minimal",2.1,1.17,1.27,NA
"NWSS","RSV","California","State","2022-23",2022-07-30,"Not Stratified","N/A","Minimal",1.69,1.8,1.69,NA
"NWSS","RSV","California","State","2022-23",2022-08-06,"Not Stratified","N/A","Minimal",1.41,1.13,1.13,NA
"NWSS","RSV","California","State","2022-23",2022-08-13,"Not Stratified","N/A","Minimal",1.47,1.37,1.37,NA
"NWSS","RSV","California","State","2022-23",2022-08-20,"Not Stratified","N/A","Minimal",1.91,1.39,1.58,NA
"NWSS","RSV","California","State","2022-23",2022-08-27,"Not Stratified","N/A","Minimal",2.67,2.14,2.11,NA
"NWSS","RSV","California","State","2022-23",2022-09-03,"Not Stratified","N/A","Minimal",1.97,1.68,1.17,NA
"NWSS","RSV","California","State","2022-23",2022-09-10,"Not Stratified","N/A","Minimal",1.76,1.79,1.15,NA
"NWSS","RSV","California","State","2022-23",2022-09-17,"Not Stratified","N/A","Minimal",2.78,2.25,1.5,NA
"NWSS","RSV","California","State","2022-23",2022-09-24,"Not Stratified","N/A","Minimal",3.54,3.48,1.55,NA
"NWSS","RSV","California","State","2022-23",2022-10-01,"Not Stratified","N/A","Minimal",3.06,3.38,1.61,NA
"NWSS","RSV","California","State","2022-23",2022-10-08,"Not Stratified","N/A","Low",3.75,4.41,2.24,NA
"NWSS","RSV","California","State","2022-23",2022-10-15,"Not Stratified","N/A","Low",6.33,6.32,6.1,NA
"NWSS","RSV","California","State","2022-23",2022-10-22,"Not Stratified","N/A","Low",6.61,7.13,4.25,NA
"NWSS","RSV","California","State","2022-23",2022-10-29,"Not Stratified","N/A","Moderate",8.17,8.09,8.09,NA
"NWSS","RSV","California","State","2022-23",2022-11-05,"Not Stratified","N/A","Moderate",8.95,9.31,8.31,NA
"NWSS","RSV","California","State","2022-23",2022-11-12,"Not Stratified","N/A","High",10.83,12.28,10.62,NA
"NWSS","RSV","California","State","2022-23",2022-11-19,"Not Stratified","N/A","High",12.28,14.41,13.14,NA
"NWSS","RSV","California","State","2022-23",2022-11-26,"Not Stratified","N/A","High",11.57,13.53,11.34,NA
"NWSS","RSV","California","State","2022-23",2022-12-03,"Not Stratified","N/A","High",13.39,17.65,17.42,NA
"NWSS","RSV","California","State","2022-23",2022-12-10,"Not Stratified","N/A","High",11.83,17.19,13.18,NA
"NWSS","RSV","California","State","2022-23",2022-12-17,"Not Stratified","N/A","High",11.64,14.73,12.7,NA
"NWSS","RSV","California","State","2022-23",2022-12-24,"Not Stratified","N/A","High",10.31,14.85,11.74,NA
"NWSS","RSV","California","State","2022-23",2022-12-31,"Not Stratified","N/A","Moderate",9.65,11.22,11.68,NA
"NWSS","RSV","California","State","2022-23",2023-01-07,"Not Stratified","N/A","High",8.49,12.98,11.06,NA
"NWSS","RSV","California","State","2022-23",2023-01-14,"Not Stratified","N/A","Moderate",7.83,11.13,9.5,NA
"NWSS","RSV","California","State","2022-23",2023-01-21,"Not Stratified","N/A","Moderate",6.32,9.66,9.11,NA
"NWSS","RSV","California","State","2022-23",2023-01-28,"Not Stratified","N/A","Low",5.39,7.84,6.81,NA
"NWSS","RSV","California","State","2022-23",2023-02-04,"Not Stratified","N/A","Low",4.56,7.17,6.22,NA
"NWSS","RSV","California","State","2022-23",2023-02-11,"Not Stratified","N/A","Low",4.47,7.12,5.85,NA
"NWSS","RSV","California","State","2022-23",2023-02-18,"Not Stratified","N/A","Low",4.57,5.28,5.25,NA
"NWSS","RSV","California","State","2022-23",2023-02-25,"Not Stratified","N/A","Low",3.66,5.1,4.72,NA
"NWSS","RSV","California","State","2022-23",2023-03-04,"Not Stratified","N/A","Low",3.22,5.17,4.61,NA
"NWSS","RSV","California","State","2022-23",2023-03-11,"Not Stratified","N/A","Low",3.03,4.01,3.71,NA
"NWSS","RSV","California","State","2022-23",2023-03-18,"Not Stratified","N/A","Minimal",2.57,3.64,4.12,NA
"NWSS","RSV","California","State","2022-23",2023-03-25,"Not Stratified","N/A","Minimal",2.16,2.93,2.9,NA
"NWSS","RSV","California","State","2022-23",2023-04-01,"Not Stratified","N/A","Minimal",2.18,2.3,2.41,NA
"NWSS","RSV","California","State","2022-23",2023-04-08,"Not Stratified","N/A","Minimal",2.03,2.5,2.49,NA
"NWSS","RSV","California","State","2022-23",2023-04-15,"Not Stratified","N/A","Minimal",1.78,2.06,2.2,NA
"NWSS","RSV","California","State","2022-23",2023-04-22,"Not Stratified","N/A","Minimal",1.5,1.6,1.61,NA
"NWSS","RSV","California","State","2022-23",2023-04-29,"Not Stratified","N/A","Minimal",1.35,1.26,1.35,NA
"NWSS","RSV","California","State","2022-23",2023-05-06,"Not Stratified","N/A","Minimal",1.35,1.57,1.5,NA
"NWSS","RSV","California","State","2022-23",2023-05-13,"Not Stratified","N/A","Minimal",1.48,1.48,1.45,NA
"NWSS","RSV","California","State","2022-23",2023-05-20,"Not Stratified","N/A","Minimal",1.46,1.5,1.46,NA
"NWSS","RSV","California","State","2022-23",2023-05-27,"Not Stratified","N/A","Minimal",1.38,1.42,1.41,NA
"NWSS","RSV","California","State","2022-23",2023-06-03,"Not Stratified","N/A","Minimal",1.29,1.35,1.34,NA
"NWSS","RSV","California","State","2022-23",2023-06-10,"Not Stratified","N/A","Minimal",1.46,1.4,1.37,NA
"NWSS","RSV","California","State","2022-23",2023-06-17,"Not Stratified","N/A","Minimal",1.34,1.41,1.4,NA
"NWSS","RSV","California","State","2022-23",2023-06-24,"Not Stratified","N/A","Minimal",1.35,1.4,1.39,NA
"NWSS","RSV","California","State","2023-24",2023-07-01,"Not Stratified","N/A","Minimal",1.35,1.39,1.37,NA
"NWSS","RSV","California","State","2023-24",2023-07-08,"Not Stratified","N/A","Minimal",1.34,1.41,1.42,NA
"NWSS","RSV","California","State","2023-24",2023-07-15,"Not Stratified","N/A","Minimal",1.46,1.44,1.47,NA
"NWSS","RSV","California","State","2023-24",2023-07-22,"Not Stratified","N/A","Minimal",1.47,1.46,1.48,NA
"NWSS","RSV","California","State","2023-24",2023-07-29,"Not Stratified","N/A","Minimal",1.38,1.52,1.47,NA
"NWSS","RSV","California","State","2023-24",2023-08-05,"Not Stratified","N/A","Minimal",1.35,1.49,1.49,NA
"NWSS","RSV","California","State","2023-24",2023-08-12,"Not Stratified","N/A","Minimal",1.45,1.45,1.45,NA
"NWSS","RSV","California","State","2023-24",2023-08-19,"Not Stratified","N/A","Minimal",1.49,1.44,1.48,NA
"NWSS","RSV","California","State","2023-24",2023-08-26,"Not Stratified","N/A","Minimal",1.66,2.38,2.15,NA
"NWSS","RSV","California","State","2023-24",2023-09-02,"Not Stratified","N/A","Minimal",1.4,1.54,1.58,NA
"NWSS","RSV","California","State","2023-24",2023-09-09,"Not Stratified","N/A","Minimal",1.53,1.73,1.63,NA
"NWSS","RSV","California","State","2023-24",2023-09-16,"Not Stratified","N/A","Minimal",1.54,2.14,1.91,NA
"NWSS","RSV","California","State","2023-24",2023-09-23,"Not Stratified","N/A","Minimal",1.64,2.28,1.93,NA
"NWSS","RSV","California","State","2023-24",2023-09-30,"Not Stratified","N/A","Minimal",2.02,2.87,2.01,NA
"NWSS","RSV","California","State","2023-24",2023-10-07,"Not Stratified","N/A","Minimal",1.81,3.51,1.67,NA
"NWSS","RSV","California","State","2023-24",2023-10-14,"Not Stratified","N/A","Minimal",1.69,2.52,1.67,NA
"NWSS","RSV","California","State","2023-24",2023-10-21,"Not Stratified","N/A","Minimal",1.96,2.43,1.77,NA
"NWSS","RSV","California","State","2023-24",2023-10-28,"Not Stratified","N/A","Minimal",2.5,3.61,2.07,NA
"NWSS","RSV","California","State","2023-24",2023-11-04,"Not Stratified","N/A","Low",3.59,4.31,2.85,NA
"NWSS","RSV","California","State","2023-24",2023-11-11,"Not Stratified","N/A","Low",5.23,6.43,5.07,NA
"NWSS","RSV","California","State","2023-24",2023-11-18,"Not Stratified","N/A","Moderate",7.56,9.46,6.06,NA
"NWSS","RSV","California","State","2023-24",2023-11-25,"Not Stratified","N/A","Moderate",8.36,10.36,6.76,NA
"NWSS","RSV","California","State","2023-24",2023-12-02,"Not Stratified","N/A","Moderate",11.03,11.64,8.66,NA
"NWSS","RSV","California","State","2023-24",2023-12-09,"Not Stratified","N/A","High",11.11,12.33,9.75,NA
"NWSS","RSV","California","State","2023-24",2023-12-16,"Not Stratified","N/A","High",11.75,12.98,11.36,NA
"NWSS","RSV","California","State","2023-24",2023-12-23,"Not Stratified","N/A","High",11.17,13.91,11.2,NA
"NWSS","RSV","California","State","2023-24",2023-12-30,"Not Stratified","N/A","High",13.21,15.7,13.43,NA
"NWSS","RSV","California","State","2023-24",2024-01-06,"Not Stratified","N/A","High",14.53,17.88,15.88,NA
"NWSS","RSV","California","State","2023-24",2024-01-13,"Not Stratified","N/A","High",11.5,15.45,13.23,NA
"NWSS","RSV","California","State","2023-24",2024-01-20,"Not Stratified","N/A","High",8.58,12.07,10.24,NA
"NWSS","RSV","California","State","2023-24",2024-01-27,"Not Stratified","N/A","Moderate",7.68,11.04,9.15,NA
"NWSS","RSV","California","State","2023-24",2024-02-03,"Not Stratified","N/A","Moderate",6.87,9.87,7.77,NA
"NWSS","RSV","California","State","2023-24",2024-02-10,"Not Stratified","N/A","Moderate",6.45,10.36,7.93,NA
"NWSS","RSV","California","State","2023-24",2024-02-17,"Not Stratified","N/A","Moderate",5.7,8.18,6.41,NA
"NWSS","RSV","California","State","2023-24",2024-02-24,"Not Stratified","N/A","Low",5,7.07,5.07,NA
"NWSS","RSV","California","State","2023-24",2024-03-02,"Not Stratified","N/A","Low",4.38,6.04,4.18,NA
"NWSS","RSV","California","State","2023-24",2024-03-09,"Not Stratified","N/A","Low",3.77,5.09,4.37,NA
"NWSS","RSV","California","State","2023-24",2024-03-16,"Not Stratified","N/A","Minimal",3.15,3.9,3.46,NA
"NWSS","RSV","California","State","2023-24",2024-03-23,"Not Stratified","N/A","Minimal",2.51,2.98,2.24,NA
"NWSS","RSV","California","State","2023-24",2024-03-30,"Not Stratified","N/A","Minimal",2.32,2.58,2,NA
"NWSS","RSV","California","State","2023-24",2024-04-06,"Not Stratified","N/A","Minimal",2.14,2.4,1.85,NA
"NWSS","RSV","California","State","2023-24",2024-04-13,"Not Stratified","N/A","Minimal",1.89,1.69,1.63,NA
"NWSS","RSV","California","State","2023-24",2024-04-20,"Not Stratified","N/A","Minimal",1.57,1.55,1.45,NA
"NWSS","RSV","California","State","2023-24",2024-04-27,"Not Stratified","N/A","Minimal",1.45,1.52,1.38,NA
"NWSS","RSV","California","State","2023-24",2024-05-04,"Not Stratified","N/A","Minimal",1.46,1.41,1.43,NA
"NWSS","RSV","California","State","2023-24",2024-05-11,"Not Stratified","N/A","Minimal",1.45,1.43,1.42,NA
"NWSS","RSV","California","State","2023-24",2024-05-18,"Not Stratified","N/A","Minimal",1.4,1.43,1.35,NA
"NWSS","RSV","California","State","2023-24",2024-05-25,"Not Stratified","N/A","Minimal",1.34,1.27,1.28,NA
"NWSS","RSV","California","State","2023-24",2024-06-01,"Not Stratified","N/A","Minimal",1.29,1.22,1.2,NA
"NWSS","RSV","California","State","2023-24",2024-06-08,"Not Stratified","N/A","Minimal",1.34,1.33,1.33,NA
"NWSS","RSV","California","State","2023-24",2024-06-15,"Not Stratified","N/A","Minimal",1.23,1.17,1.18,NA
"NWSS","RSV","California","State","2023-24",2024-06-22,"Not Stratified","N/A","Minimal",1.21,1.24,1.2,NA
"NWSS","RSV","California","State","2023-24",2024-06-29,"Not Stratified","N/A","Minimal",1.28,1.2,1.2,NA
"NWSS","RSV","California","State","2024-25",2024-07-06,"Not Stratified","N/A","Minimal",1.21,1.09,1.11,NA
"NWSS","RSV","California","State","2024-25",2024-07-13,"Not Stratified","N/A","Minimal",1.25,1.1,1.11,NA
"NWSS","RSV","California","State","2024-25",2024-07-20,"Not Stratified","N/A","Minimal",1.25,1.15,1.12,NA
"NWSS","RSV","California","State","2024-25",2024-07-27,"Not Stratified","N/A","Minimal",1.24,1.08,1.09,NA
"NWSS","RSV","California","State","2024-25",2024-08-03,"Not Stratified","N/A","Minimal",1.21,1.12,1.12,NA
"NWSS","RSV","California","State","2024-25",2024-08-10,"Not Stratified","N/A","Minimal",1.24,1.07,1.09,NA
"NWSS","RSV","California","State","2024-25",2024-08-17,"Not Stratified","N/A","Minimal",1.21,1.11,1.08,NA
"NWSS","RSV","California","State","2024-25",2024-08-24,"Not Stratified","N/A","Minimal",1.27,1.04,1.09,NA
"NWSS","RSV","California","State","2024-25",2024-08-31,"Not Stratified","N/A","Minimal",1.22,1.1,1.12,NA
"NWSS","RSV","California","State","2024-25",2024-09-07,"Not Stratified","N/A","Minimal",1.2,1.04,1.12,NA
"NWSS","RSV","California","State","2024-25",2024-09-14,"Not Stratified","N/A","Minimal",1.18,1.27,1.14,NA
"NWSS","RSV","California","State","2024-25",2024-09-21,"Not Stratified","N/A","Minimal",1.13,1.09,1.06,NA
"NWSS","RSV","California","State","2024-25",2024-09-28,"Not Stratified","N/A","Minimal",1.21,1.25,1.12,NA
"NWSS","RSV","California","State","2024-25",2024-10-05,"Not Stratified","N/A","Minimal",1.24,1.19,1.05,NA
"NWSS","RSV","California","State","2024-25",2024-10-12,"Not Stratified","N/A","Minimal",1.15,1.2,1.08,NA
"NWSS","RSV","California","State","2024-25",2024-10-19,"Not Stratified","N/A","Minimal",1.25,1.32,1.24,NA
"NWSS","RSV","California","State","2024-25",2024-10-26,"Not Stratified","N/A","Minimal",1.14,1.49,1.22,NA
"NWSS","RSV","California","State","2024-25",2024-11-02,"Not Stratified","N/A","Minimal",1.26,1.55,1.35,NA
"NWSS","RSV","California","State","2024-25",2024-11-09,"Not Stratified","N/A","Minimal",1.52,1.57,1.46,NA
"NWSS","RSV","California","State","2024-25",2024-11-16,"Not Stratified","N/A","Minimal",1.9,2.19,2.22,NA
"NWSS","RSV","California","State","2024-25",2024-11-23,"Not Stratified","N/A","Minimal",2.34,2.86,2.81,NA
"NWSS","RSV","California","State","2024-25",2024-11-30,"Not Stratified","N/A","Low",2.48,4.17,3.2,NA
"NWSS","RSV","California","State","2024-25",2024-12-07,"Not Stratified","N/A","Low",4.09,6.16,5.19,NA
"NWSS","RSV","California","State","2024-25",2024-12-14,"Not Stratified","N/A","Moderate",5.41,9.03,4.15,NA
"NWSS","RSV","California","State","2024-25",2024-12-21,"Not Stratified","N/A","Moderate",6.46,10.77,6.09,NA
"NWSS","RSV","California","State","2024-25",2024-12-28,"Not Stratified","N/A","High",6.47,12.89,6.06,NA
"NWSS","RSV","California","State","2024-25",2025-01-04,"Not Stratified","N/A","High",10.11,15.55,8.12,NA
"NWSS","RSV","California","State","2024-25",2025-01-11,"Not Stratified","N/A","High",9.91,18.22,8.57,NA
"NWSS","RSV","California","State","2024-25",2025-01-18,"Not Stratified","N/A","High",8.98,14.35,8.56,NA
"NWSS","RSV","California","State","2024-25",2025-01-25,"Not Stratified","N/A","High",8.41,13.57,8.86,NA
"NWSS","RSV","California","State","2024-25",2025-02-01,"Not Stratified","N/A","High",8.27,15.2,10.83,NA
"NWSS","RSV","Colorado","State","2021-22",2022-05-21,"Not Stratified","N/A","Minimal",1.62,2.47,1.35,"Limited Coverage"
"NWSS","RSV","Colorado","State","2021-22",2022-05-28,"Not Stratified","N/A","Minimal",1.63,1.72,1.6,"Limited Coverage"
"NWSS","RSV","Colorado","State","2021-22",2022-06-04,"Not Stratified","N/A","Minimal",1.41,1.26,1.3,"Limited Coverage"
"NWSS","RSV","Colorado","State","2021-22",2022-06-11,"Not Stratified","N/A","Minimal",1.54,1.26,1.31,"Limited Coverage"
"NWSS","RSV","Colorado","State","2021-22",2022-06-18,"Not Stratified","N/A","Minimal",1.21,1.12,1.2,"Limited Coverage"
"NWSS","RSV","Colorado","State","2021-22",2022-06-25,"Not Stratified","N/A","Minimal",1.33,1.33,1.33,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-07-02,"Not Stratified","N/A","Minimal",1.38,1.4,1.24,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-07-09,"Not Stratified","N/A","Minimal",1.62,2.22,1.49,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-07-16,"Not Stratified","N/A","Minimal",2.62,2.33,1.32,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-07-23,"Not Stratified","N/A","Minimal",2.1,1.31,1.27,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-07-30,"Not Stratified","N/A","Minimal",1.69,1.23,1.69,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-08-06,"Not Stratified","N/A","Minimal",1.41,0.98,1.13,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-08-13,"Not Stratified","N/A","Minimal",1.47,1.4,1.37,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-08-20,"Not Stratified","N/A","Minimal",1.91,1.62,1.58,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-08-27,"Not Stratified","N/A","Low",2.67,4.34,2.11,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-09-03,"Not Stratified","N/A","Minimal",1.97,2.55,1.17,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-09-10,"Not Stratified","N/A","Minimal",1.76,0.93,1.15,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-09-17,"Not Stratified","N/A","Minimal",2.78,1.47,1.5,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-09-24,"Not Stratified","N/A","Minimal",3.54,3.77,1.55,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-10-01,"Not Stratified","N/A","Low",3.06,4.11,1.61,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-10-08,"Not Stratified","N/A","Low",3.75,7.13,2.24,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-10-15,"Not Stratified","N/A","Moderate",6.33,9.79,6.1,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-10-22,"Not Stratified","N/A","Moderate",6.61,10.78,4.25,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-10-29,"Not Stratified","N/A","Moderate",8.17,11.56,8.09,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-11-05,"Not Stratified","N/A","Moderate",8.95,11.37,8.31,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-11-12,"Not Stratified","N/A","High",10.83,15.08,10.62,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-11-19,"Not Stratified","N/A","Moderate",12.28,10.88,13.14,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-11-26,"Not Stratified","N/A","High",11.57,15.15,11.34,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-12-03,"Not Stratified","N/A","High",13.39,16.39,17.42,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-12-10,"Not Stratified","N/A","High",11.83,13.64,13.18,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-12-17,"Not Stratified","N/A","Moderate",11.64,11.38,12.7,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-12-24,"Not Stratified","N/A","Low",10.31,7.28,11.74,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2022-12-31,"Not Stratified","N/A","Low",9.65,6.71,11.68,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-01-07,"Not Stratified","N/A","High",8.49,18.27,11.06,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-01-14,"Not Stratified","N/A","Moderate",7.83,10.62,9.5,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-01-21,"Not Stratified","N/A","Moderate",6.32,8.4,9.11,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-01-28,"Not Stratified","N/A","Low",5.39,6.67,6.81,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-02-04,"Not Stratified","N/A","Low",4.56,4.89,6.22,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-02-11,"Not Stratified","N/A","Low",4.47,4.27,5.85,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-02-18,"Not Stratified","N/A","Minimal",4.57,3.52,5.25,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-02-25,"Not Stratified","N/A","Minimal",3.66,2.39,4.72,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-03-04,"Not Stratified","N/A","Minimal",3.22,2.01,4.61,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-03-11,"Not Stratified","N/A","Low",3.03,5.92,3.71,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-03-18,"Not Stratified","N/A","Low",2.57,5.09,4.12,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-03-25,"Not Stratified","N/A","Minimal",2.16,2.7,2.9,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-04-01,"Not Stratified","N/A","Minimal",2.18,3.02,2.41,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-04-08,"Not Stratified","N/A","Minimal",2.03,1.52,2.49,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-04-15,"Not Stratified","N/A","Minimal",1.78,1.5,2.2,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-04-22,"Not Stratified","N/A","Minimal",1.5,1.08,1.61,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-04-29,"Not Stratified","N/A","Minimal",1.35,1.81,1.35,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-05-06,"Not Stratified","N/A","Minimal",1.35,1.22,1.5,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-05-13,"Not Stratified","N/A","Minimal",1.48,1.74,1.45,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-05-20,"Not Stratified","N/A","Minimal",1.46,1.92,1.46,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-05-27,"Not Stratified","N/A","Minimal",1.38,1.28,1.41,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-06-03,"Not Stratified","N/A","Minimal",1.29,2.49,1.34,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-06-10,"Not Stratified","N/A","Minimal",1.46,1.25,1.37,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-06-17,"Not Stratified","N/A","Minimal",1.34,1.74,1.4,"Limited Coverage"
"NWSS","RSV","Colorado","State","2022-23",2023-06-24,"Not Stratified","N/A","Minimal",1.35,1.24,1.39,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-07-01,"Not Stratified","N/A","Minimal",1.35,1.36,1.37,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-07-08,"Not Stratified","N/A","Minimal",1.34,2,1.42,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-07-15,"Not Stratified","N/A","Minimal",1.46,1.33,1.47,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-07-22,"Not Stratified","N/A","Minimal",1.47,1.96,1.48,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-07-29,"Not Stratified","N/A","Minimal",1.38,1.06,1.47,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-08-05,"Not Stratified","N/A","Minimal",1.35,1.19,1.49,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-08-12,"Not Stratified","N/A","Minimal",1.45,1.54,1.45,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-08-19,"Not Stratified","N/A","Minimal",1.49,1.23,1.48,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-08-26,"Not Stratified","N/A","Minimal",1.66,1.88,2.15,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-09-02,"Not Stratified","N/A","Minimal",1.4,2.03,1.58,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-09-09,"Not Stratified","N/A","Minimal",1.53,1.28,1.63,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-09-16,"Not Stratified","N/A","Minimal",1.54,1.72,1.91,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-09-23,"Not Stratified","N/A","Minimal",1.64,2.51,1.93,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-09-30,"Not Stratified","N/A","Minimal",2.02,2.65,2.01,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-10-07,"Not Stratified","N/A","Low",1.81,6.07,1.67,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-10-14,"Not Stratified","N/A","Minimal",1.69,3.52,1.67,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-10-21,"Not Stratified","N/A","Low",1.96,4.15,1.77,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-10-28,"Not Stratified","N/A","Minimal",2.5,3.39,2.07,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-11-04,"Not Stratified","N/A","Low",3.59,6.54,2.85,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-11-11,"Not Stratified","N/A","Low",5.23,4.98,5.07,"Limited Coverage"
"NWSS","RSV","Colorado","State","2023-24",2023-11-18,"Not Stratified","N/A","Moderate",7.56,9.25,6.06,"Limited Coverage"
