"","Dataset","State","Year","Quarter","Setting","Drug","Characteristic","Level","Rate","Count"
"2028","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Total","All Inpatient Stays",221.534397640748,3150
"2029","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Total","All Inpatient Stays",226.890696951135,3250
"2030","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Total","All Inpatient Stays",217.824419222998,3100
"2031","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Total","All Inpatient Stays",203.636734819937,2900
"2032","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Total","All Inpatient Stays",200.050364654548,2850
"2033","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Total","All Inpatient Stays",201.112164312543,2900
"2034","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Total","All Inpatient Stays",182.458185222335,2650
"2035","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Total","All Inpatient Stays",215.834333119743,3150
"2036","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Total","All Inpatient Stays",194.736371282679,2850
"2037","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Total","All Inpatient Stays",205.268266144229,3000
"2038","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Total","All Inpatient Stays",212.73494966258,3100
"2039","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Total","All Inpatient Stays",204.909153762376,3000
"2040","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Total","All Inpatient Stays",191.813025645067,2800
"2041","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Total","All Inpatient Stays",197.570067818808,2900
"2042","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Total","All Inpatient Stays",192.676373285746,2850
"2043","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Total","All Inpatient Stays",192.146233216695,2850
"2044","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Total","All Inpatient Stays",196.315369393024,2900
"2045","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2046","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2047","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2048","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2049","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2050","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2051","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2052","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2053","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2054","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2055","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2056","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2057","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2058","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2059","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2060","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2061","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2062","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2063","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2064","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2065","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2066","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2067","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2068","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2069","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Age","<1 Year",NA,NA
"2070","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Age","<1 Year",NA,NA
"2071","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Age","<1 Year",NA,NA
"2072","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Age","<1 Year",NA,NA
"2073","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Age","1-24 Years",67.7779897336273,300
"2074","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Age","1-24 Years",61.9745570037329,250
"2075","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Age","1-24 Years",72.8766516539114,300
"2076","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Age","1-24 Years",58.7409621866615,250
"2077","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Age","1-24 Years",60.7383532250436,250
"2078","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Age","1-24 Years",57.9746532077216,250
"2079","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Age","1-24 Years",55.6921865460003,250
"2080","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Age","1-24 Years",50.4425132240412,200
"2081","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Age","1-24 Years",49.4948817834603,200
"2082","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Age","1-24 Years",43.1554179924934,200
"2083","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Age","1-24 Years",49.9124829985605,200
"2084","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Age","1-24 Years",49.4833244908964,200
"2085","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Age","1-24 Years",49.6893564377496,200
"2086","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Age","1-24 Years",45.8321917827645,200
"2087","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Age","1-24 Years",47.9041955718434,200
"2088","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Age","1-24 Years",44.5008149939153,200
"2089","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Age","1-24 Years",41.8282850455186,200
"2090","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Age","1-24 Years",44.5277474960947,200
"2091","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Age","1-24 Years",41.0717871796799,200
"2092","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Age","1-24 Years",42.7856996708056,200
"2093","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Age","1-24 Years",42.0769644540628,200
"2094","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Age","1-24 Years",43.8965088628871,200
"2095","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Age","1-24 Years",43.669065811784,200
"2096","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Age","1-24 Years",44.1239519139901,200
"2097","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Age","1-24 Years",46.2847293782533,200
"2098","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Age","1-24 Years",39.0136856776139,150
"2099","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Age","1-24 Years",44.4425510945417,200
"2100","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Age","1-24 Years",39.1229995841708,150
"2101","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Age","25-44 Years",236.818587641679,900
"2102","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Age","25-44 Years",256.968809823575,1000
"2103","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Age","25-44 Years",260.914799130973,1000
"2104","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Age","25-44 Years",259.858139858178,1000
"2105","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Age","25-44 Years",256.508008898903,1000
"2106","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Age","25-44 Years",258.93697728055,1000
"2107","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Age","25-44 Years",268.456516689461,1050
"2108","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Age","25-44 Years",242.801298882903,950
"2109","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Age","25-44 Years",230.057761137142,900
"2110","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Age","25-44 Years",228.842359770426,900
"2111","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Age","25-44 Years",233.878412007053,950
"2112","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Age","25-44 Years",241.105341685616,950
"2113","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Age","25-44 Years",249.894985687444,1000
"2114","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Age","25-44 Years",244.449639942023,1000
"2115","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Age","25-44 Years",233.988579676317,950
"2116","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Age","25-44 Years",212.105876774687,850
"2117","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Age","25-44 Years",226.751536288005,950
"2118","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Age","25-44 Years",225.409093507357,950
"2119","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Age","25-44 Years",264.778922502124,1100
"2120","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Age","25-44 Years",227.818313045178,950
"2121","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Age","25-44 Years",235.903599646156,1000
"2122","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Age","25-44 Years",245.11951824023,1050
"2123","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Age","25-44 Years",231.920134276549,1000
"2124","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Age","25-44 Years",216.385347348867,900
"2125","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Age","25-44 Years",232.710924880191,1000
"2126","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Age","25-44 Years",224.012617303632,950
"2127","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Age","25-44 Years",222.625344999883,950
"2128","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Age","25-44 Years",216.096381175589,950
"2129","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Age","45-64 Years",334.886292133647,1200
"2130","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Age","45-64 Years",338.922749497031,1200
"2131","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Age","45-64 Years",358.863364414596,1300
"2132","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Age","45-64 Years",335.294464883221,1200
"2133","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Age","45-64 Years",333.722670645701,1200
"2134","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Age","45-64 Years",317.74793535186,1150
"2135","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Age","45-64 Years",327.513083110624,1200
"2136","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Age","45-64 Years",299.210970801713,1100
"2137","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Age","45-64 Years",310.898464299613,1100
"2138","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Age","45-64 Years",275.821547582393,1000
"2139","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Age","45-64 Years",284.341249557721,1050
"2140","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Age","45-64 Years",305.862683652983,1100
"2141","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Age","45-64 Years",297.587033717618,1100
"2142","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Age","45-64 Years",283.558750741006,1050
"2143","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Age","45-64 Years",262.40170104458,950
"2144","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Age","45-64 Years",281.965845968712,1000
"2145","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Age","45-64 Years",268.574448319646,1000
"2146","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Age","45-64 Years",241.990432115771,900
"2147","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Age","45-64 Years",286.623503441841,1050
"2148","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Age","45-64 Years",259.142317092835,950
"2149","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Age","45-64 Years",269.538928552731,1000
"2150","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Age","45-64 Years",282.94415797074,1050
"2151","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Age","45-64 Years",274.27333783569,1000
"2152","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Age","45-64 Years",258.251270964891,950
"2153","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Age","45-64 Years",257.028825256113,900
"2154","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Age","45-64 Years",254.012047479834,900
"2155","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Age","45-64 Years",246.899716746451,900
"2156","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Age","45-64 Years",260.90799105538,950
"2157","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Age","65+ Years",516.219277825744,950
"2158","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Age","65+ Years",497.721128782808,900
"2159","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Age","65+ Years",510.921549245087,950
"2160","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Age","65+ Years",510.394488123018,950
"2161","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Age","65+ Years",500.161054769125,950
"2162","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Age","65+ Years",453.16944140983,850
"2163","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Age","65+ Years",449.440814088036,850
"2164","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Age","65+ Years",450.484137439863,850
"2165","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Age","65+ Years",427.005947584054,850
"2166","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Age","65+ Years",370.516529690841,750
"2167","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Age","65+ Years",398.550066847802,800
"2168","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Age","65+ Years",424.322683213374,850
"2169","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Age","65+ Years",448.279938592958,950
"2170","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Age","65+ Years",430.009780727478,900
"2171","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Age","65+ Years",386.572921380858,800
"2172","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Age","65+ Years",378.926722367438,800
"2173","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Age","65+ Years",374.672472263453,800
"2174","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Age","65+ Years",293.549980646274,650
"2175","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Age","65+ Years",374.971994481015,800
"2176","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Age","65+ Years",343.74109277921,750
"2177","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Age","65+ Years",376.787192306757,850
"2178","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Age","65+ Years",382.993313629518,850
"2179","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Age","65+ Years",370.306682056776,850
"2180","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Age","65+ Years",337.657207594641,750
"2181","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Age","65+ Years",337.079001975777,800
"2182","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Age","65+ Years",340.428042068963,800
"2183","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Age","65+ Years",339.629037563921,800
"2184","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Age","65+ Years",365.588459664413,850
"2185","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Sex","Males",221.867416096222,1500
"2186","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Sex","Males",219.39267183586,1500
"2187","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Sex","Males",233.965702118954,1600
"2188","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Sex","Males",218.793108877005,1500
"2189","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Sex","Males",223.7941308568,1550
"2190","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Sex","Males",214.570646380542,1500
"2191","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Sex","Males",210.204134512622,1450
"2192","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Sex","Males",200.427738095434,1400
"2193","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Sex","Males",202.233462774949,1450
"2194","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Sex","Males",186.087139790403,1350
"2195","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Sex","Males",196.328194983413,1400
"2196","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Sex","Males",204.849890501505,1450
"2197","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Sex","Males",215.665632597936,1550
"2198","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Sex","Males",200.813289714101,1450
"2199","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Sex","Males",182.059592505293,1300
"2200","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Sex","Males",185.227020806464,1350
"2201","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Sex","Males",183.427741745091,1350
"2202","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Sex","Males",179.030255252092,1300
"2203","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Sex","Males",203.930678456882,1500
"2204","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Sex","Males",188.678684673571,1400
"2205","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Sex","Males",198.960809691885,1450
"2206","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Sex","Males",208.125280110497,1550
"2207","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Sex","Males",197.227394613996,1450
"2208","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Sex","Males",186.289380736179,1350
"2209","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Sex","Males",187.169104547596,1400
"2210","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Sex","Males",183.343758580999,1350
"2211","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Sex","Males",189.689206761522,1400
"2212","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Sex","Males",190.969761526956,1400
"2213","AHRQ","Colorado",2016,"Q1","IP","All Opioids","Sex","Females",266.701932647658,1800
"2214","AHRQ","Colorado",2016,"Q2","IP","All Opioids","Sex","Females",272.575303511467,1850
"2215","AHRQ","Colorado",2016,"Q3","IP","All Opioids","Sex","Females",280.810144112555,1900
"2216","AHRQ","Colorado",2016,"Q4","IP","All Opioids","Sex","Females",274.100303191623,1850
"2217","AHRQ","Colorado",2017,"Q1","IP","All Opioids","Sex","Females",270.547580143536,1900
"2218","AHRQ","Colorado",2017,"Q2","IP","All Opioids","Sex","Females",255.908041281343,1800
"2219","AHRQ","Colorado",2017,"Q3","IP","All Opioids","Sex","Females",268.069384236684,1850
"2220","AHRQ","Colorado",2017,"Q4","IP","All Opioids","Sex","Females",246.061591915303,1700
"2221","AHRQ","Colorado",2018,"Q1","IP","All Opioids","Sex","Females",238.830950279513,1700
"2222","AHRQ","Colorado",2018,"Q2","IP","All Opioids","Sex","Females",215.619107847326,1500
"2223","AHRQ","Colorado",2018,"Q3","IP","All Opioids","Sex","Females",224.108438924392,1600
"2224","AHRQ","Colorado",2018,"Q4","IP","All Opioids","Sex","Females",238.367993653132,1700
"2225","AHRQ","Colorado",2019,"Q1","IP","All Opioids","Sex","Females",238.214792648284,1700
"2226","AHRQ","Colorado",2019,"Q2","IP","All Opioids","Sex","Females",234.98562671491,1700
"2227","AHRQ","Colorado",2019,"Q3","IP","All Opioids","Sex","Females",225.264045112464,1600
"2228","AHRQ","Colorado",2019,"Q4","IP","All Opioids","Sex","Females",215.00448509481,1550
"2229","AHRQ","Colorado",2020,"Q1","IP","All Opioids","Sex","Females",218.715538886564,1600
"2230","AHRQ","Colorado",2020,"Q2","IP","All Opioids","Sex","Females",185.785728863605,1350
"2231","AHRQ","Colorado",2020,"Q3","IP","All Opioids","Sex","Females",227.869599069358,1650
"2232","AHRQ","Colorado",2020,"Q4","IP","All Opioids","Sex","Females",200.861033955185,1450
"2233","AHRQ","Colorado",2021,"Q1","IP","All Opioids","Sex","Females",211.647273189292,1550
"2234","AHRQ","Colorado",2021,"Q2","IP","All Opioids","Sex","Females",217.396910433981,1600
"2235","AHRQ","Colorado",2021,"Q3","IP","All Opioids","Sex","Females",212.67805333326,1550
"2236","AHRQ","Colorado",2021,"Q4","IP","All Opioids","Sex","Females",197.399329736809,1450
"2237","AHRQ","Colorado",2022,"Q1","IP","All Opioids","Sex","Females",208.097701362107,1500
"2238","AHRQ","Colorado",2022,"Q2","IP","All Opioids","Sex","Females",201.849045231313,1500
"2239","AHRQ","Colorado",2022,"Q3","IP","All Opioids","Sex","Females",194.633183074295,1400
"2240","AHRQ","Colorado",2022,"Q4","IP","All Opioids","Sex","Females",201.589278880631,1450
"2241","AHRQ","Connecticut",2016,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",351.013466766251,3150
"2242","AHRQ","Connecticut",2016,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",437.504465399928,3950
"2243","AHRQ","Connecticut",2016,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",449.157933190513,4050
"2244","AHRQ","Connecticut",2016,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",390.350377069801,3500
"2245","AHRQ","Connecticut",2017,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",393.051947527312,3550
"2246","AHRQ","Connecticut",2017,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",417.320544306527,3750
"2247","AHRQ","Connecticut",2017,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",418.621492046145,3750
"2248","AHRQ","Connecticut",2017,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",384.914002305287,3450
"2249","AHRQ","Connecticut",2018,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",357.671430614964,3200
"2250","AHRQ","Connecticut",2018,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",433.380650010396,3850
"2251","AHRQ","Connecticut",2018,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",524.785986494595,4700
"2252","AHRQ","Connecticut",2018,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",397.812970712727,3550
"2253","AHRQ","Connecticut",2019,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",342.060543848998,3050
"2254","AHRQ","Connecticut",2019,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",421.252466602857,3800
"2255","AHRQ","Connecticut",2019,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",465.651302102509,4150
"2256","AHRQ","Connecticut",2019,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",399.959644365872,3600
"2257","AHRQ","Connecticut",2020,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",371.050023318061,3300
"2258","AHRQ","Connecticut",2020,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",331.950408056526,2950
"2259","AHRQ","Connecticut",2020,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",417.553535294786,3700
"2260","AHRQ","Connecticut",2020,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",345.025261854857,3100
"2261","AHRQ","Connecticut",2021,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",352.040458948844,3150
"2262","AHRQ","Connecticut",2021,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",384.157927199996,3400
"2263","AHRQ","Connecticut",2021,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",396.634143264479,3550
"2264","AHRQ","Connecticut",2021,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",298.133429132682,2650
"2265","AHRQ","Connecticut",2022,"Q1","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"2266","AHRQ","Connecticut",2022,"Q2","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"2267","AHRQ","Connecticut",2022,"Q3","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"2268","AHRQ","Connecticut",2022,"Q4","ED Treat-and-Release","All Opioids","Total","All ED Visits",NA,NA
"2269","AHRQ","Connecticut",2016,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2270","AHRQ","Connecticut",2016,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2271","AHRQ","Connecticut",2016,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2272","AHRQ","Connecticut",2016,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2273","AHRQ","Connecticut",2017,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2274","AHRQ","Connecticut",2017,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2275","AHRQ","Connecticut",2017,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2276","AHRQ","Connecticut",2017,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2277","AHRQ","Connecticut",2018,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2278","AHRQ","Connecticut",2018,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2279","AHRQ","Connecticut",2018,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2280","AHRQ","Connecticut",2018,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2281","AHRQ","Connecticut",2019,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2282","AHRQ","Connecticut",2019,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2283","AHRQ","Connecticut",2019,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2284","AHRQ","Connecticut",2019,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2285","AHRQ","Connecticut",2020,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2286","AHRQ","Connecticut",2020,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2287","AHRQ","Connecticut",2020,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2288","AHRQ","Connecticut",2020,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2289","AHRQ","Connecticut",2021,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2290","AHRQ","Connecticut",2021,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2291","AHRQ","Connecticut",2021,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2292","AHRQ","Connecticut",2021,"Q4","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2293","AHRQ","Connecticut",2022,"Q1","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2294","AHRQ","Connecticut",2022,"Q2","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
"2295","AHRQ","Connecticut",2022,"Q3","ED Treat-and-Release","All Opioids","Age","<1 Year",NA,NA
